Company Profile,,,
Company Name,Shaktikrupa Automation,,
Address,"vaishnodevi circle, Ahmedabad, Gujarat, 382418, India",,
Contact,Phone: 89986597645  |  Email: sa@gmail.com  |  Web: www.sa.com,,
GST Number,6.54865E+12,,
Authorized By,xyz,,
,,,
Report Information,,,
Report ID,1,,
Operator,admin1,,
Material,Steel,,
Sample Name,98,,
Gauge Length (mm),40,,
Final Distance (mm),35.049,,
Extension (mm),-4.951,,
Final Strain,-0.123765,,
Test Duration,00:00:03,,
Date,07-07-2026 13:04,,
,,,
Timeline Statistics,,,
Total Samples,29,,
Maximum Strain,0.010853,,
Average Strain,-0.042271,,
Maximum Extension,0.434,,
Average Extension,-1.691,,
,,,
Timeline,,,
Time,Distance,Extension,Strain
0.11,39.924,-0.076,-0.001893
0.237,40.434,0.434,0.010853
0.439,39.271,-0.729,-0.018234
0.544,39.047,-0.953,-0.023815
0.656,38.638,-1.362,-0.034054
0.764,38.643,-1.357,-0.033915
0.874,39.147,-0.853,-0.021335
0.985,38.75,-1.25,-0.031242
1.095,38.325,-1.675,-0.041881
1.206,38.248,-1.752,-0.043796
1.316,38.303,-1.697,-0.042429
1.426,38.527,-1.473,-0.036823
1.535,38.892,-1.108,-0.027704
1.646,38.554,-1.446,-0.036157
1.754,38.939,-1.061,-0.026534
1.865,38.824,-1.176,-0.029412
1.975,38.915,-1.085,-0.027126
2.084,38.927,-1.073,-0.026832
2.196,38.625,-1.375,-0.034363
2.307,38.652,-1.348,-0.033695
2.416,38.635,-1.365,-0.034131
2.527,38.444,-1.556,-0.038898
2.637,38.067,-1.933,-0.048326
2.747,38.01,-1.99,-0.049755
2.855,36.925,-3.075,-0.076883
2.965,36.519,-3.481,-0.087016
3.075,35.866,-4.134,-0.103355
3.185,35.866,-4.134,-0.103355
3.295,35.049,-4.951,-0.123765
