Company Profile
Company Name,Shaktikrupa Automation
Address,"vaishnodevi circle, Ahmedabad, Gujarat, 382418, India"
Contact,Phone: 89986597645  |  Email: sa@gmail.com  |  Web: www.sa.com
GST Number,6548654321589
Authorized By,xyz

Report Information
Report ID,2
Operator,superadmin
Material,Steel
Sample Name,Spaciman A02
Gauge Length (mm),2.000
Final Distance (mm),1.205
Extension (mm),-0.795
Final Strain,-0.397492
Test Duration,00:00:21
Date,2026-08-10 14:48:16

Timeline Statistics
Total Samples,194
Maximum Strain,0.316721
Average Strain,-0.000160
Maximum Extension,0.633
Average Extension,-0.000

Timeline
Time,Distance,Extension,Strain
0.113,2.033,0.033,0.016560
0.228,1.959,-0.041,-0.020748
0.336,1.964,-0.036,-0.018191
0.445,1.942,-0.058,-0.029078
0.554,1.979,-0.021,-0.010484
0.664,1.995,-0.005,-0.002359
0.774,2.012,0.012,0.005799
0.884,2.142,0.142,0.071010
1.000,2.070,0.070,0.034915
1.105,2.100,0.100,0.050089
1.215,2.072,0.072,0.036150
1.325,2.164,0.164,0.081816
1.435,2.200,0.200,0.099903
1.545,2.139,0.139,0.069300
1.655,2.150,0.150,0.074865
1.765,2.086,0.086,0.043119
1.875,2.091,0.091,0.045495
1.985,2.115,0.115,0.057512
2.095,2.069,0.069,0.034624
2.206,2.079,0.079,0.039266
2.317,2.090,0.090,0.044968
2.426,2.105,0.105,0.052665
2.535,2.121,0.121,0.060400
2.646,2.063,0.063,0.031518
2.756,2.111,0.111,0.055709
2.866,2.145,0.145,0.072507
2.976,2.136,0.136,0.067915
3.086,2.166,0.166,0.083183
3.196,2.169,0.169,0.084594
3.306,2.192,0.192,0.095999
3.416,2.217,0.217,0.108305
3.528,2.203,0.203,0.101384
3.638,2.230,0.230,0.115228
3.749,2.266,0.266,0.133179
3.856,2.237,0.237,0.118281
3.966,2.230,0.230,0.114778
4.076,2.257,0.257,0.128457
4.187,2.243,0.243,0.121616
4.297,2.195,0.195,0.097576
4.406,2.214,0.214,0.106833
4.517,2.219,0.219,0.109639
4.627,2.308,0.308,0.154027
4.738,2.291,0.291,0.145742
4.848,2.164,0.164,0.081816
4.958,2.147,0.147,0.073722
5.077,2.217,0.217,0.108350
5.178,2.233,0.233,0.116576
5.287,2.207,0.207,0.103635
5.397,2.177,0.177,0.088562
5.507,2.157,0.157,0.078567
5.617,2.123,0.123,0.061676
5.727,2.187,0.187,0.093549
5.837,2.382,0.382,0.190975
5.947,2.428,0.428,0.213806
6.060,2.489,0.489,0.244744
6.169,2.512,0.512,0.256072
6.277,2.502,0.502,0.250772
6.388,2.496,0.496,0.248063
6.498,2.566,0.566,0.282910
6.608,2.633,0.633,0.316721
6.718,2.495,0.495,0.247300
6.828,2.473,0.473,0.236641
6.938,2.508,0.508,0.254055
7.049,2.512,0.512,0.256072
7.158,2.450,0.450,0.225031
7.269,2.472,0.472,0.235952
7.379,2.398,0.398,0.198947
7.489,2.498,0.498,0.248846
7.601,2.456,0.456,0.227954
7.709,2.521,0.521,0.260734
7.819,2.504,0.504,0.252074
7.929,2.446,0.446,0.222881
8.039,2.432,0.432,0.216035
8.149,2.375,0.375,0.187623
8.259,2.222,0.222,0.110790
8.370,2.239,0.239,0.119603
8.479,2.280,0.280,0.139775
8.589,2.253,0.253,0.126322
8.700,2.246,0.246,0.123023
8.810,2.254,0.254,0.127123
8.921,2.147,0.147,0.073255
9.029,2.147,0.147,0.073255
9.146,2.123,0.123,0.061723
9.249,2.096,0.096,0.048010
9.360,2.091,0.091,0.045711
9.470,2.091,0.091,0.045711
9.580,2.042,0.042,0.021087
9.690,2.031,0.031,0.015252
9.800,2.020,0.020,0.009904
9.910,1.994,-0.006,-0.002988
10.021,1.914,-0.086,-0.042913
10.132,1.863,-0.137,-0.068480
10.240,1.872,-0.128,-0.063969
10.350,1.877,-0.123,-0.061642
10.463,1.959,-0.041,-0.020543
10.571,1.927,-0.073,-0.036543
10.681,1.886,-0.114,-0.057138
10.791,1.834,-0.166,-0.082855
10.900,1.811,-0.189,-0.094464
11.011,1.835,-0.165,-0.082718
11.122,1.810,-0.190,-0.094934
11.233,1.773,-0.227,-0.113744
11.342,1.784,-0.216,-0.108077
11.452,1.739,-0.261,-0.130450
11.562,1.697,-0.303,-0.151315
11.671,1.815,-0.185,-0.092500
11.781,1.830,-0.170,-0.084825
11.892,1.799,-0.201,-0.100603
12.001,1.883,-0.117,-0.058468
12.112,1.865,-0.135,-0.067619
12.221,1.888,-0.112,-0.055889
12.331,1.826,-0.174,-0.086909
12.441,1.812,-0.188,-0.093965
12.553,1.799,-0.201,-0.100380
12.662,1.793,-0.207,-0.103730
12.774,1.824,-0.176,-0.087898
12.882,1.838,-0.162,-0.081107
12.992,1.748,-0.252,-0.125964
13.103,1.786,-0.214,-0.106784
13.212,1.786,-0.214,-0.106981
13.322,1.786,-0.214,-0.106981
13.432,1.776,-0.224,-0.112049
13.547,1.762,-0.238,-0.118965
13.652,1.819,-0.181,-0.090706
13.762,1.848,-0.152,-0.075884
13.873,1.869,-0.131,-0.065283
13.983,1.811,-0.189,-0.094464
14.094,1.769,-0.231,-0.115528
14.204,1.658,-0.342,-0.170919
14.313,1.664,-0.336,-0.168142
14.423,1.675,-0.325,-0.162615
14.533,1.700,-0.300,-0.149751
14.643,1.618,-0.382,-0.191092
14.753,1.630,-0.370,-0.184825
14.863,1.628,-0.372,-0.185840
14.973,1.645,-0.355,-0.177324
15.084,1.851,-0.149,-0.074311
15.193,1.751,-0.249,-0.124331
15.304,1.797,-0.203,-0.101272
15.416,1.774,-0.226,-0.112868
15.523,1.804,-0.196,-0.098237
15.633,1.747,-0.253,-0.126423
15.743,1.706,-0.294,-0.146836
15.854,1.733,-0.267,-0.133425
15.964,1.743,-0.257,-0.128463
16.074,1.774,-0.226,-0.112868
16.185,1.779,-0.221,-0.110384
16.294,1.879,-0.121,-0.060547
16.404,1.947,-0.053,-0.026499
16.515,1.910,-0.090,-0.044827
16.625,1.886,-0.114,-0.056845
16.736,1.845,-0.155,-0.077703
16.844,1.739,-0.261,-0.130450
16.954,1.722,-0.278,-0.139201
17.065,1.735,-0.265,-0.132384
17.174,1.729,-0.271,-0.135655
17.284,1.825,-0.175,-0.087431
17.395,1.865,-0.135,-0.067619
17.505,1.980,-0.020,-0.010231
17.616,2.012,0.012,0.006123
17.725,1.996,-0.004,-0.001983
17.836,1.958,-0.042,-0.021157
17.946,1.989,-0.011,-0.005430
18.060,2.020,0.020,0.009904
18.165,2.034,0.034,0.016954
18.275,2.057,0.057,0.028378
18.385,1.992,-0.008,-0.004196
18.495,2.002,0.002,0.001002
18.605,2.033,0.033,0.016560
18.715,2.028,0.028,0.013843
18.825,1.934,-0.066,-0.032985
18.935,1.990,-0.010,-0.004926
19.047,1.869,-0.131,-0.065685
19.157,1.856,-0.144,-0.072066
19.267,1.832,-0.168,-0.084031
19.376,1.869,-0.131,-0.065283
19.486,1.931,-0.069,-0.034464
19.596,1.936,-0.064,-0.032000
19.706,1.936,-0.064,-0.032000
19.816,1.905,-0.095,-0.047745
19.927,1.912,-0.088,-0.044040
20.037,1.891,-0.109,-0.054377
20.146,1.841,-0.159,-0.079472
20.257,1.849,-0.151,-0.075612
20.367,1.828,-0.172,-0.086004
20.478,1.672,-0.328,-0.163963
20.589,1.634,-0.366,-0.182767
20.698,1.648,-0.352,-0.176046
20.807,1.566,-0.434,-0.217046
20.918,1.622,-0.378,-0.189018
21.027,1.407,-0.593,-0.296733
21.137,1.229,-0.771,-0.385584
21.248,1.197,-0.803,-0.401458
21.357,1.205,-0.795,-0.397492
